 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
  1763  1762     9   3.024E-45   3.024E-45   2.969E-09   2.969E-09
  1763  1838     9   2.819E-45   2.819E-45   2.969E-09   2.969E-09
  1763  1763     9   0.000E+00   0.000E+00   2.969E-09   2.969E-09
    12    12    10   0.000E+00   0.000E+00   2.823E-09   2.823E-09
    12  2202    10   2.921E-45   2.921E-45   2.823E-09   2.823E-09
    12    29    10   2.921E-45   2.921E-45   2.823E-09   2.823E-09
  2202    12    10   3.855E-45   3.855E-45   2.823E-09   2.823E-09
  2202  2202    10   0.000E+00   0.000E+00   2.823E-09   2.823E-09
  2202    29    10   1.988E-45   1.988E-45   2.823E-09   2.823E-09
    29    12    10   3.855E-45   3.855E-45   2.823E-09   2.823E-09
    29  2202    10   1.988E-45   1.988E-45   2.823E-09   2.823E-09
    29    29    10   0.000E+00   0.000E+00   2.823E-09   2.823E-09
   784   784    11   0.000E+00   0.000E+00   3.021E-03   4.001E-02
   784   225    11   7.033E-02   5.075E-01   3.021E-03   4.001E-02
   784   768    11   2.171E-02   1.681E-01   3.021E-03   4.001E-02
   225   784    11   8.234E-02   6.253E-01   3.021E-03   4.661E-02
   225   225    11   0.000E+00   0.000E+00   3.021E-03   4.661E-02
   225   768    11   7.904E-03   8.132E-02   3.021E-03   4.661E-02
   768   784    11   5.628E-02   4.621E-01   3.021E-03   4.620E-02
   768   225    11   1.756E-02   1.799E-01   3.021E-03   4.620E-02
   768   768    11   0.000E+00   0.000E+00   3.021E-03   4.620E-02
  2206  2206    12   0.000E+00   0.000E+00   2.823E-09   2.823E-09
  2206    10    12   4.398E-45   4.398E-45   2.823E-09   2.823E-09
  2206    20    12   1.444E-45   1.444E-45   2.823E-09   2.823E-09
    10  2206    12   3.752E-45   3.752E-45   2.823E-09   2.823E-09
    10    10    12   0.000E+00   0.000E+00   2.823E-09   2.823E-09
    10    20    12   2.091E-45   2.091E-45   2.823E-09   2.823E-09
    20  2206    12   2.166E-45   2.166E-45   2.823E-09   2.823E-09
    20    10    12   3.677E-45   3.677E-45   2.823E-09   2.823E-09
    20    20    12   0.000E+00   0.000E+00   2.823E-09   2.823E-09
   584   584    13   0.000E+00   0.000E+00   2.961E-03   4.943E-02
   584   587    13   6.755E-02   4.843E-01   2.961E-03   4.943E-02
   584   792    13   3.721E-02   2.758E-01   2.961E-03   4.943E-02
   587   584    13   9.487E-02   6.575E-01   2.961E-03   4.417E-02
   587   587    13   0.000E+00   0.000E+00   2.961E-03   4.417E-02
   587   792    13   5.858E-03   6.302E-02   2.961E-03   4.417E-02
   792   584    13   8.272E-02   8.272E-02   2.961E-03   2.961E-03
   792   587    13   9.248E-03   9.248E-03   2.961E-03   2.961E-03
   792   792    13   0.000E+00   0.000E+00   2.961E-03   2.961E-03
    17    17    14   0.000E+00   0.000E+00   2.369E-08   2.369E-08
    17    32    14   4.264E-45   4.264E-45   2.369E-08   2.369E-08
    17  1767    14   1.579E-45   1.579E-45   2.369E-08   2.369E-08
    32    17    14   4.884E-45   4.884E-45   2.369E-08   2.369E-08
    32    32    14   0.000E+00   0.000E+00   2.369E-08   2.369E-08
    32  1767    14   9.587E-46   9.587E-46   2.369E-08   2.369E-08
  1767    17    14   3.819E-45   3.819E-45   2.369E-08   2.369E-08
  1767    32    14   2.024E-45   2.024E-45   2.369E-08   2.369E-08
  1767  1767    14   0.000E+00   0.000E+00   2.369E-08   2.369E-08
